Loss,Labels,Recompute_every,use_sigmoid,paths_to_evaluate_list,No_reinsert,Reinsert
CE,probabilities,step,True,1000,242.0,157.0
CE,probabilities,step,True,1000,279.0,243.0
CE,probabilities,step,True,1000,238.0,175.0
CE,probabilities,step,False,1000,279.0,29.0
CE,probabilities,step,False,1000,274.0,186.0
CE,probabilities,step,False,1000,279.0,147.0
CE,normalized_probabilities,step,True,1000,154.0,29.0
CE,normalized_probabilities,step,True,1000,135.0,85.0
CE,normalized_probabilities,step,True,1000,231.0,30.0
CE,normalized_probabilities,step,False,1000,185.0,74.0
CE,normalized_probabilities,step,False,1000,111.0,96.0
CE,normalized_probabilities,step,False,1000,279.0,150.0
CE,keystone,step,True,1000,279.0,67.0
CE,keystone,step,True,1000,276.0,225.0
CE,keystone,step,True,1000,279.0,104.0
CE,keystone,step,False,1000,279.0,29.0
CE,keystone,step,False,1000,69.0,29.0
CE,keystone,step,False,1000,203.0,142.0
CE,keystone,no_keystone,True,1000,210.0,158.0
CE,keystone,no_keystone,True,1000,279.0,109.0
CE,keystone,no_keystone,True,1000,223.0,162.0
CE,keystone,no_keystone,False,1000,243.0,42.0
CE,keystone,no_keystone,False,1000,153.0,97.0
CE,keystone,no_keystone,False,1000,198.0,168.0
CE,normalized_keystone,step,True,1000,279.0,31.0
CE,normalized_keystone,step,True,1000,245.0,129.0
CE,normalized_keystone,step,True,1000,279.0,252.0
CE,normalized_keystone,step,False,1000,276.0,219.0
CE,normalized_keystone,step,False,1000,276.0,233.0
CE,normalized_keystone,step,False,1000,279.0,35.0
CE,normalized_keystone,no_keystone,True,1000,279.0,30.0
CE,normalized_keystone,no_keystone,True,1000,125.0,78.0
CE,normalized_keystone,no_keystone,True,1000,279.0,31.0
CE,normalized_keystone,no_keystone,False,1000,279.0,35.0
CE,normalized_keystone,no_keystone,False,1000,162.0,123.0
CE,normalized_keystone,no_keystone,False,1000,279.0,29.0
